iter	RMSE
0	8.924185201
1	8.268685793
2	7.684830384
3	7.12658915
4	6.619380574
5	6.210557144
6	5.820695526
7	5.481920238
8	5.173850099
9	4.887866917
10	4.614448243
11	4.363965501
12	4.14550432
13	3.957630071
14	3.779873698
15	3.643139551
16	3.509822991
17	3.379339677
18	3.246624619
19	3.159086197
20	3.066878662
21	2.984124509
22	2.911639041
23	2.839113548
24	2.778056
25	2.707293648
26	2.662960751
27	2.626977251
28	2.597081926
29	2.561086165
30	2.522990442
31	2.496211147
32	2.468919413
33	2.441403982
34	2.42028599
35	2.391735493
36	2.365342746
37	2.345549377
38	2.326064787
39	2.303325844
40	2.290493149
41	2.278646888
42	2.263441443
43	2.252164787
44	2.235477919
45	2.225625844
46	2.205947236
47	2.195601251
48	2.187889613
49	2.170859287
50	2.162159731
51	2.147442666
52	2.13564513
53	2.128218801
54	2.12247906
55	2.107750194
56	2.093122868
57	2.085175994
58	2.061777421
59	2.052576596
60	2.046447977
61	2.035702977
62	2.027753663
63	2.017233316
64	2.013397129
65	2.007876744
66	2.000765088
67	1.994347301
68	1.986123195
69	1.979707134
70	1.969320302
71	1.965055111
72	1.954859548
73	1.951516844
74	1.942983141
75	1.930924683
76	1.919063362
77	1.917358911
78	1.903563151
79	1.890930138
80	1.87841901
81	1.86661191
82	1.858277785
83	1.848738654
84	1.839862886
85	1.833404155
86	1.825351559
87	1.816396749
88	1.804825917
89	1.796827239
90	1.790608708
91	1.784027778
92	1.773462033
93	1.764937316
94	1.756783515
95	1.751303994
96	1.746953915
97	1.742978398
98	1.741825511
99	1.739658045
