iter	Passed	Remaining
0	4	484
1	8	433
2	11	379
3	14	347
4	17	338
5	22	350
6	25	335
7	28	324
8	31	315
9	35	323
10	40	329
11	43	322
12	46	313
13	50	312
14	54	311
15	57	304
16	60	296
17	63	290
18	68	291
19	72	289
20	75	284
21	78	278
22	83	280
23	87	278
24	91	273
25	94	267
26	97	264
27	102	264
28	106	260
29	109	256
30	114	254
31	119	253
32	122	248
33	126	245
34	131	243
35	136	242
36	139	237
37	142	232
38	147	230
39	152	228
40	155	223
41	158	218
42	163	216
43	167	213
44	170	208
45	173	203
46	177	200
47	182	197
48	185	193
49	188	188
50	191	184
51	196	181
52	200	177
53	203	173
54	206	169
55	211	166
56	216	163
57	219	158
58	222	154
59	227	151
60	231	148
61	235	144
62	239	140
63	243	137
64	248	133
65	251	129
66	254	125
67	258	121
68	262	118
69	266	114
70	269	109
71	272	105
72	277	102
73	280	98
74	283	94
75	286	90
76	291	87
77	295	83
78	299	79
79	302	75
80	306	71
81	311	68
82	314	64
83	317	60
84	322	56
85	327	53
86	330	49
87	333	45
88	337	41
89	341	37
90	345	34
91	348	30
92	352	26
93	357	22
94	360	18
95	363	15
96	366	11
97	371	7
98	375	3
99	378	0
